name,homepage,scholar_id,citations,h-index,earliest_paper
Hacer Yalim Keles,http://web.cs.hacettepe.edu.tr/~hacerkeles,noo7zCUAAAAJ,535.0,10.0,2011.0
Aydin Kaya,https://web.cs.hacettepe.edu.tr/~aydinkaya,4xURlrgAAAAJ,471.0,9.0,2011.0
Suat Ozdemir,https://web.cs.hacettepe.edu.tr/~ozdemir,2x5qoTkAAAAJ,3700.0,29.0,2011.0
Mehmet Önder Efe,https://web.cs.hacettepe.edu.tr/~onderefe,OityWEAAAAAJ,3809.0,30.0,2011.0
Fuat Akal,http://yunus.hacettepe.edu.tr/~akal,rnq1_mIAAAAJ,371.0,9.0,2011.0
Harun Artuner,http://yunus.hacettepe.edu.tr/~artuner,ImqfMJcAAAAJ,236.0,8.0,2011.0
Ebru Akcapinar Sezer,http://yunus.hacettepe.edu.tr/~ebru,0xMgS9AAAAAJ,3263.0,26.0,2011.0
Ali Seydi Keçeli,https://sites.google.com/view/aliseydikeceli,1RYMZ5YAAAAJ,472.0,10.0,2011.0
Tunca Dogan,http://yunus.hacettepe.edu.tr/~tuncadogan,tHnMNPEAAAAJ,17381.0,18.0,2011.0
Lale Özkahya,https://web.cs.hacettepe.edu.tr/~ozkahya,1GKiDzwAAAAJ,185.0,9.0,2011.0
Pinar Duygulu,https://web.cs.hacettepe.edu.tr/~pinar,1KEMrHkAAAAJ,7729.0,28.0,2011.0
Suleyman Tosun,https://web.cs.hacettepe.edu.tr/~stosun,IiZP05YAAAAJ,898.0,15.0,2003.0
Özgür Erkent,https://web.cs.hacettepe.edu.tr/~ozgurerkent,5QMAbisAAAAJ,348.0,11.0,2004.0
Erkut Erdem,https://web.cs.hacettepe.edu.tr/~erkut,eALwl74AAAAJ,2958.0,24.0,2002.0
Sevil Sen,https://web.cs.hacettepe.edu.tr/~ssen,Wqy6xC8AAAAJ,1395.0,17.0,2007.0
Ilyas Cicekli,https://web.cs.hacettepe.edu.tr/~ilyas,Q1tqCDQAAAAJ,2426.0,23.0,1986.0
Ebru Gökalp,http://web.cs.hacettepe.edu.tr/~ebrugokalp,iDmoPK8AAAAJ,650.0,12.0,2010.0
Nazli Ikizler-Cinbis,https://web.cs.hacettepe.edu.tr/~nazli,gwLessAAAAAJ,2606.0,21.0,2001.0
Burkay Genç,http://burkay.tk,w-pGWs4AAAAJ,216.0,8.0,2002.0
Engin Demir,http://www.engindemir.com.tr,ZXdtEZ4AAAAJ,1324.0,7.0,2001.0
Murat Aydos,https://web.cs.hacettepe.edu.tr/~maydos,RGSJ8BUAAAAJ,764.0,13.0,1998.0
Burak Kurkcu,http://web.cs.hacettepe.edu.tr/~bkurkcu,IRcDIOwAAAAJ,138.0,7.0,2010.0
Ufuk Celikcan,https://web.cs.hacettepe.edu.tr/~celikcan,CH-5yWQAAAAJ,126.0,6.0,2009.0
Adnan Ozsoy,https://web.cs.hacettepe.edu.tr/~aozsoy,Ic73aUUAAAAJ,233.0,7.0,2009.0
Ahmet Burak Can,https://web.cs.hacettepe.edu.tr/~abc,SbRj1qwAAAAJ,666.0,13.0,2006.0
Ayça Kolukisa Tarhan,https://sites.google.com/view/aycatarhan,nxtKV6YAAAAJ,1225.0,18.0,1999.0
Kayhan M. Imre,https://web.cs.hacettepe.edu.tr/~kimre,1d2qMREAAAAJ,101.0,7.0,1993.0
Cemil Zalluhoglu,http://web.cs.hacettepe.edu.tr/~cemil,av0SkNAAAAAJ,53.0,4.0,2016.0
