name,homepage,scholar_id,citations,h-index
Ming Li,https://mentis.uta.edu/explore/profile/ming-li,pVqH3WcAAAAJ,1439.0,21.0
Yonghe Liu,https://www.uta.edu/profiles/yonghe-liu,,,
Fillia Makedon,http://heracleia.uta.edu/~makedon,,,
Jia Rao,http://ranger.uta.edu/~jrao,cLssJjcAAAAJ,2544.0,26.0
Farhad Ahani Kamangar,http://ranger.uta.edu/~kamangar,E23Ps_EAAAAJ,1320.0,14.0
Jiang Ming,http://ranger.uta.edu/~ming,i4VFYKAAAAAJ,1304.0,18.0
Lynn Peterson,http://ranger.uta.edu/~peterson/peterson.html,6TIFDwoAAAAJ,360.0,10.0
Ishfaq Ahmad,http://ranger.uta.edu/~iahmad,DPpfFp4AAAAJ,119886.0,148.0
Song Jiang,http://ranger.uta.edu/~sjiang,vhpbMX8AAAAJ,6295.0,37.0
David Kung,http://ranger.uta.edu/~kung/kung.html,cgO5XwcAAAAJ,2605.0,28.0
Phuc Nguyen,http://wsslab.org/vpnguyen,pBf2M3QAAAAJ,721.0,14.0
Mohammad A. Islam,http://crystal.uta.edu/~mislam,rxKWd1cAAAAJ,502.0,13.0
Yingying Zhu,https://zyy123jy.github.io/My-Web-Sites,PMjtni8AAAAJ,679.0,14.0
Jeff Yu Lei,http://ranger.uta.edu/~ylei,YG60wS4AAAAJ,14384.0,60.0
Shirin Nilizadeh,http://crystal.uta.edu/~shirin,UaSo4BoAAAAJ,865.0,12.0
William J. Beksi,http://ranger.uta.edu/~wjbeksi,lU2Z7MMAAAAJ,205.0,9.0
Manfred Huber,http://ranger.uta.edu/~huber,2lIq2nMAAAAJ,2102.0,23.0
Vassilis Athitsos,http://omega.uta.edu/~athitsos,RRmQyu8AAAAJ,8595.0,48.0
Ramez A. Elmasri,http://ranger.uta.edu/~elmasri,lPtRH2wAAAAJ,18307.0,42.0
Chengkai Li,http://ranger.uta.edu/~cli,v8ZQDf8AAAAJ,3869.0,29.0
Deokgun Park,http://crystal.uta.edu/~park,cK1bhQUAAAAJ,1215.0,18.0
Habeeb Olufowobi,https://dipupo.github.io,8sqvlk8AAAAJ,215.0,8.0
César Torres,http://cearto.com,9CJbh1MAAAAJ,397.0,9.0
Bill Carroll,http://ranger.uta.edu/~carroll,b77CHHoAAAAJ,1147.0,11.0
Hong Q. Ding,http://ranger.uta.edu/~chqding,q7FfnjgAAAAJ,57420.0,96.0
Dajiang Zhu,https://mentis.uta.edu/explore/profile/dajiang-zhu,cFgudIYAAAAJ,2383.0,26.0
Jean Gao,http://crystal.uta.edu/~gao,,,
Junzhou Huang,http://ranger.uta.edu/~huang,X7KrguAAAAAJ,15119.0,59.0
Leonidas Fegaras,http://lambda.uta.edu,,,
Bob Weems,http://ranger.uta.edu/~weems,,,
Sharma Chakravarthy,http://itlab.uta.edu/sharma,N4oy61IAAAAJ,8896.0,41.0
Hong Jiang,http://ranger.uta.edu/~jiang,u6wmNbQAAAAJ,72009.0,138.0
Gautam Das,http://ranger.uta.edu/~gdas,oleB9xIAAAAJ,16904.0,58.0
Christoph Csallner,http://ranger.uta.edu/~csallner,A9t6MNAAAAAJ,2405.0,20.0
Hao Che,http://crystal.uta.edu/~hche,Vyrg19YAAAAJ,4959.0,40.0
Allison K. Sullivan,https://allisonius.github.io,omg10AMAAAAJ,212.0,10.0
