name,homepage,scholar_id,citations,h-index
Ali Arya,http://www.csit.carleton.ca/~arya,Per9R0UAAAAJ,1135.0,17.0
Olga Baysal,http://olgabaysal.com,1yuYTRAAAAAJ,1513.0,20.0
Majid Komeili,http://people.scs.carleton.ca/~majidkomeili,AIHFesoAAAAJ,507.0,12.0
Prosenjit Bose,http://jitbose.ca,1jR53ZQAAAAJ,9627.0,44.0
AbdelRahman Abdou,http://people.scs.carleton.ca/~abdou,qEl1DpQAAAAJ,262.0,10.0
Oliver Matias van Kaick,http://people.scs.carleton.ca/~olivervankaick,IfvyBBUAAAAJ,2844.0,21.0
Robert Biddle,https://carleton.ca/scs/people/robert-biddle,Z3jkhWIAAAAJ,9966.0,48.0
Mengchi Liu,http://www.scs.carleton.ca/~mengchi,NOSCHOLARPAGE,,
Douglas G. Howe,https://carleton.ca/scs/people/doug-howe,NOSCHOLARPAGE,,
Evangelos Kranakis,http://www.scs.carleton.ca/~kranakis,fDcEuo4AAAAJ,11671.0,49.0
Doron Nussbaum,https://carleton.ca/scs/people/doron-nussbaum,NOSCHOLARPAGE,,
Mark Lanthier,https://carleton.ca/scs/people/mark-lanthier,NOSCHOLARPAGE,,
Jean-Pierre Corriveau,http://www.scs.carleton.ca/~jeanpier,SmEIZO0AAAAJ,969.0,13.0
Wilf R. LaLonde,http://www.scs.carleton.ca/~lalonde,NOSCHOLARPAGE,,
Dwight Deugo,http://www.scs.carleton.ca/~deugo,NOSCHOLARPAGE,,
Audrey Girouard,https://cil.csit.carleton.ca,wP7xkUEAAAAJ,3222.0,26.0
Leo Bertossi,http://www.scs.carleton.ca/~bertossi,TeBUgNcAAAAJ,5442.0,31.0
Sonia Chiasson,https://carleton.ca/scs/people/sonia-chiasson,wg8yZz8AAAAJ,5728.0,34.0
Anil Somayaji,http://www.scs.carleton.ca/~soma,cQUT9bAAAAAJ,10612.0,25.0
Pat Morin,https://carleton.ca/scs/people/pat-morin,MQI9NXEAAAAJ,30305.0,55.0
David Mould,http://www.scs.carleton.ca/~mould,NOSCHOLARPAGE,,
Michiel H. M. Smid,http://www.scs.carleton.ca/~michiel,NOSCHOLARPAGE,,
Anil Maheshwari,http://www.scs.carleton.ca/~maheshwa,-6ZbKwoAAAAJ,3508.0,31.0
Frank Dehne,https://carleton.ca/scs/people/frank-dehne,nHJDhwoAAAAJ,5610.0,42.0
B. John Oommen,http://www.scs.carleton.ca/~oommen,E5TiDR4AAAAJ,6652.0,40.0
Tony White,https://carleton.ca/scs/people/tony-white,EkUL_2kAAAAJ,,
Nicola Santoro,http://www.scs.carleton.ca/~santoro,A9jJPF8AAAAJ,11709.0,57.0
Michel Barbeau,https://carleton.ca/scs/people/michel-barbeau,NOSCHOLARPAGE,,
Yuhong Guo,https://carleton.ca/scs/people/yuhong-guo,Q7VKnRYAAAAJ,5335.0,34.0
Jörg-Rüdiger Sack,http://www.scs.carleton.ca/~sack,NOSCHOLARPAGE,,
Paul C. van Oorschot,http://www.scs.carleton.ca/~paulv,CMRzTi8AAAAJ,44702.0,81.0
Louis D. Nel,http://www.scs.carleton.ca/~ldnel,NOSCHOLARPAGE,,
Ahmed El-Roby,https://people.scs.carleton.ca/~ahmedelroby,DA68vjUAAAAJ,111.0,5.0
