Name,affiliation,homepage,scholar-id,citations,h-index
Eatai Roth,Indiana University,http://www.eatairoth.com,Wf_rspwAAAAJ,690.0,12.0
Susan C. Herring,Indiana University,https://ella.sice.indiana.edu/~herring/index.html,atKhRwEAAAAJ,32296.0,66.0
Eli Blevis,Indiana University,http://eli.informatics.indiana.edu,2BK-UYQAAAAJ,3688.0,27.0
Santo Fortunato,Indiana University,https://www.santofortunato.net,NDrCCokAAAAJ,39766.0,57.0
XiaoFeng Wang,Indiana University,http://www.informatics.indiana.edu/xw7,pONu-5EAAAAJ,12308.0,58.0
Amanda F. Mejia,Indiana University,https://mandymejia.com,HS9XWtAAAAAJ,627.0,14.0
L. Jean Camp,Indiana University,http://ljean.com,wJPGa2IAAAAJ,5379.0,42.0
Pnina Fichman,Indiana University,https://ella.sice.indiana.edu/~fichman,KpiNE84AAAAJ,3160.0,25.0
Katy Börner,Indiana University,http://info.ils.indiana.edu/~katy,YirSp_cAAAAJ,13827.0,50.0
Paul Macklin,Indiana University,http://mathcancer.org,zUorXGEAAAAJ,4201.0,28.0
Hongyang Gao,Iowa State University,https://faculty.sites.iastate.edu/hygao,jGmq0aEAAAAJ,1438.0,11.0
Ali Jannesari,Iowa State University,https://www.cs.iastate.edu/swapp/people/ali-jannesari,YhWnhQEAAAAJ,855.0,16.0
Johnny S. Wong,Iowa State University,http://www.cs.iastate.edu/people/johnny-wong,qa9dTwkAAAAJ,2793.0,27.0
Qi Li,Iowa State University,https://www.cs.iastate.edu/people/qi-li,Gvld0foAAAAJ,2459.0,21.0
Forrest Sheng Bao,Iowa State University,https://www.cs.iastate.edu/people/forrest-sheng-bao,XWpFf0IAAAAJ,2722.0,20.0
Sourabh Bhattacharya,Iowa State University,https://www.cs.iastate.edu/people/sourabh-bhattacharya,2nLY4NUAAAAJ,1446.0,19.0
Zhu Zhang,Iowa State University,https://www.cs.iastate.edu/people/zhu-drew-zhang,DX3eUacAAAAJ,3542.0,27.0
Andrew S. Miner,Iowa State University,http://www.cs.iastate.edu/~asminer,iCWiQi8AAAAJ,1756.0,21.0
Tichakorn Wongpiromsarn,Iowa State University,https://faculty.sites.iastate.edu/nok,oclUWQEAAAAJ,2423.0,25.0
Christopher J. Quinn,Iowa State University,https://www.cs.iastate.edu/people/christopher-quinn,oXWIgXcAAAAJ,777.0,11.0
Ying Cai,Iowa State University,http://www.cs.iastate.edu/~yingcai,N3Jc1zMAAAAJ,3627.0,24.0
Hridesh Rajan,Iowa State University,http://www.cs.iastate.edu/~hridesh,aiFvpucAAAAJ,3681.0,28.0
Soma Chaudhuri,Iowa State University,http://www.cs.iastate.edu/~chaudhur,uTqQopAAAAAJ,1501.0,15.0
David Fernández-Baca,Iowa State University,http://www.cs.iastate.edu/~fernande,38ev4xkAAAAJ,2467.0,24.0
Abusayeed M. Saifullah,Iowa State University,https://www.cs.iastate.edu/abu,CYwffSUAAAAJ,4478.0,29.0
Shashi K. Gadia,Iowa State University,http://www.cs.iastate.edu/~gadia,Iic0vOQAAAAJ,4255.0,23.0
James I. Lathrop,Iowa State University,https://www.cs.iastate.edu/people/jim-lathrop,PxyBS_YAAAAJ,584.0,13.0
Myra B. Cohen,Iowa State University,https://www.cs.iastate.edu/people/myra-cohen,i_XdxLcAAAAJ,7097.0,40.0
Wei Le,Iowa State University,http://www.cs.iastate.edu/~weile,QjFu7LEAAAAJ,3595.0,27.0
Lu Ruan,Iowa State University,http://www.cs.iastate.edu/~ruan,3FrD14AAAAAJ,1763.0,20.0
Yan-Bin Jia,Iowa State University,http://www.cs.iastate.edu/~jia,9f4Pek0AAAAJ,1075.0,19.0
Carl K. Chang,Iowa State University,http://www.cs.iastate.edu/people/carl-chang,0IHc9DUAAAAJ,4516.0,27.0
Jin Tian,Iowa State University,http://www.cs.iastate.edu/~jtian,ZUSWjHIAAAAJ,7806.0,40.0
Jack H. Lutz,Iowa State University,http://www.cs.iastate.edu/~lutz,mxv3BeAAAAAJ,3548.0,30.0
Oliver Eulenstein,Iowa State University,http://www.cs.iastate.edu/~oeulenst,EF9D28wAAAAJ,2482.0,28.0
A. Pavan,Iowa State University,http://www.cs.iastate.edu/people/pavan-aduri,4QIV0FUAAAAJ,1119.0,17.0
Robyn R. Lutz,Iowa State University,http://www.cs.iastate.edu/~rlutz,sdVfpyQAAAAJ,3505.0,32.0
